dataset_variant,dataset_group,model_family,model_scope,probability_type,horizon_year,estimate_probability,interval_type,uncertainty_sd,interval_lower_95,interval_median_50,interval_upper_95
PNU,PNU,Bayesian transition-only cure,overall,risk,1,0.223898,95% CrI,0.05605,0.130389,0.219907,0.35699
PNU,PNU,Bayesian transition-only cure,overall,risk,2,0.289526,95% CrI,0.069144,0.156445,0.288209,0.436714
PNU,PNU,Bayesian transition-only cure,overall,risk,3,0.325737,95% CrI,0.078765,0.170982,0.325101,0.494518
PNU,PNU,Bayesian transition-only cure,overall,risk,4,0.349679,95% CrI,0.086453,0.183428,0.350087,0.5318
PNU,PNU,Bayesian transition-only cure,overall,risk,5,0.367047,95% CrI,0.092805,0.190662,0.365071,0.554831
PNU,PNU,Bayesian transition-only cure,overall,risk,6,0.38039,95% CrI,0.098174,0.195454,0.377594,0.576898
PNU,PNU,Bayesian transition-only cure,overall,risk,7,0.39105,95% CrI,0.102792,0.198863,0.387082,0.597268
PNU,PNU,Bayesian transition-only cure,overall,risk,8,0.399816,95% CrI,0.106822,0.203262,0.397485,0.61069
PNU,PNU,Bayesian transition-only cure,overall,risk,9,0.407184,95% CrI,0.110381,0.205908,0.402998,0.62521
PNU,PNU,Bayesian transition-only cure,overall,risk,10,0.413486,95% CrI,0.113555,0.207999,0.407291,0.638672
PNU,PNU,Bayesian transition-only cure,overall,survival,1,0.776102,95% CrI,0.05605,0.64301,0.780093,0.869611
PNU,PNU,Bayesian transition-only cure,overall,survival,2,0.710474,95% CrI,0.069144,0.563286,0.711791,0.843555
PNU,PNU,Bayesian transition-only cure,overall,survival,3,0.674263,95% CrI,0.078765,0.505482,0.674899,0.829018
PNU,PNU,Bayesian transition-only cure,overall,survival,4,0.650321,95% CrI,0.086453,0.4682,0.649913,0.816572
PNU,PNU,Bayesian transition-only cure,overall,survival,5,0.632953,95% CrI,0.092805,0.445169,0.634929,0.809338
PNU,PNU,Bayesian transition-only cure,overall,survival,6,0.61961,95% CrI,0.098174,0.423102,0.622406,0.804546
PNU,PNU,Bayesian transition-only cure,overall,survival,7,0.60895,95% CrI,0.102792,0.402732,0.612918,0.801137
PNU,PNU,Bayesian transition-only cure,overall,survival,8,0.600184,95% CrI,0.106822,0.38931,0.602515,0.796738
PNU,PNU,Bayesian transition-only cure,overall,survival,9,0.592816,95% CrI,0.110381,0.37479,0.597002,0.794092
PNU,PNU,Bayesian transition-only cure,overall,survival,10,0.586514,95% CrI,0.113555,0.361328,0.592709,0.792001
PNU,PNU,Bayesian transition-only cure,susceptible,risk,1,0.491198,95% CrI,0.16778,0.223044,0.466581,0.809953
PNU,PNU,Bayesian transition-only cure,susceptible,risk,2,0.620028,95% CrI,0.172537,0.31451,0.604247,0.921425
PNU,PNU,Bayesian transition-only cure,susceptible,risk,3,0.687971,95% CrI,0.166991,0.371509,0.683396,0.955888
PNU,PNU,Bayesian transition-only cure,susceptible,risk,4,0.73164,95% CrI,0.160026,0.416323,0.740148,0.973081
PNU,PNU,Bayesian transition-only cure,susceptible,risk,5,0.762676,95% CrI,0.153262,0.452627,0.775245,0.982146
PNU,PNU,Bayesian transition-only cure,susceptible,risk,6,0.786143,95% CrI,0.147045,0.482607,0.803066,0.987453
PNU,PNU,Bayesian transition-only cure,susceptible,risk,7,0.804653,95% CrI,0.141413,0.505514,0.826298,0.990941
PNU,PNU,Bayesian transition-only cure,susceptible,risk,8,0.819711,95% CrI,0.136321,0.523412,0.843295,0.993092
PNU,PNU,Bayesian transition-only cure,susceptible,risk,9,0.832252,95% CrI,0.131705,0.540918,0.856026,0.9946
PNU,PNU,Bayesian transition-only cure,susceptible,risk,10,0.842893,95% CrI,0.127506,0.556513,0.867574,0.995725
PNU,PNU,Bayesian transition-only cure,susceptible,survival,1,0.508802,95% CrI,0.16778,0.190047,0.533419,0.776956
PNU,PNU,Bayesian transition-only cure,susceptible,survival,2,0.379972,95% CrI,0.172537,0.078575,0.395753,0.68549
PNU,PNU,Bayesian transition-only cure,susceptible,survival,3,0.312029,95% CrI,0.166991,0.044112,0.316604,0.628491
PNU,PNU,Bayesian transition-only cure,susceptible,survival,4,0.26836,95% CrI,0.160026,0.026919,0.259852,0.583677
PNU,PNU,Bayesian transition-only cure,susceptible,survival,5,0.237324,95% CrI,0.153262,0.017854,0.224755,0.547373
PNU,PNU,Bayesian transition-only cure,susceptible,survival,6,0.213857,95% CrI,0.147045,0.012547,0.196934,0.517393
PNU,PNU,Bayesian transition-only cure,susceptible,survival,7,0.195347,95% CrI,0.141413,0.009059,0.173702,0.494486
PNU,PNU,Bayesian transition-only cure,susceptible,survival,8,0.180289,95% CrI,0.136321,0.006908,0.156705,0.476588
PNU,PNU,Bayesian transition-only cure,susceptible,survival,9,0.167748,95% CrI,0.131705,0.0054,0.143974,0.459082
PNU,PNU,Bayesian transition-only cure,susceptible,survival,10,0.157107,95% CrI,0.127506,0.004275,0.132426,0.443487
PNU,PNU,Frequentist mixture cure,overall,risk,1,0.241488,95% CI,0.058274,0.12018,0.222192,0.349545
PNU,PNU,Frequentist mixture cure,overall,risk,2,0.303494,95% CI,0.070101,0.141194,0.278297,0.421442
PNU,PNU,Frequentist mixture cure,overall,risk,3,0.333188,95% CI,0.077329,0.148385,0.306058,0.453017
PNU,PNU,Frequentist mixture cure,overall,risk,4,0.350729,95% CI,0.082462,0.151223,0.32419,0.47733
PNU,PNU,Frequentist mixture cure,overall,risk,5,0.362299,95% CI,0.086388,0.154008,0.337302,0.491722
PNU,PNU,Frequentist mixture cure,overall,risk,6,0.370477,95% CI,0.089533,0.154467,0.346728,0.504729
PNU,PNU,Frequentist mixture cure,overall,risk,7,0.376542,95% CI,0.092133,0.155057,0.353957,0.515568
PNU,PNU,Frequentist mixture cure,overall,risk,8,0.381204,95% CI,0.094332,0.155814,0.359697,0.523394
PNU,PNU,Frequentist mixture cure,overall,risk,9,0.384886,95% CI,0.096226,0.1564,0.364866,0.529668
PNU,PNU,Frequentist mixture cure,overall,risk,10,0.38786,95% CI,0.097881,0.156726,0.368688,0.534464
PNU,PNU,Frequentist mixture cure,overall,survival,1,0.758512,95% CI,0.058274,0.650455,0.777808,0.87982
PNU,PNU,Frequentist mixture cure,overall,survival,2,0.696506,95% CI,0.070101,0.578558,0.721703,0.858806
PNU,PNU,Frequentist mixture cure,overall,survival,3,0.666812,95% CI,0.077329,0.546983,0.693942,0.851615
PNU,PNU,Frequentist mixture cure,overall,survival,4,0.649271,95% CI,0.082462,0.52267,0.67581,0.848777
PNU,PNU,Frequentist mixture cure,overall,survival,5,0.637701,95% CI,0.086388,0.508278,0.662698,0.845992
PNU,PNU,Frequentist mixture cure,overall,survival,6,0.629523,95% CI,0.089533,0.495271,0.653272,0.845533
PNU,PNU,Frequentist mixture cure,overall,survival,7,0.623458,95% CI,0.092133,0.484432,0.646043,0.844943
PNU,PNU,Frequentist mixture cure,overall,survival,8,0.618796,95% CI,0.094332,0.476606,0.640303,0.844186
PNU,PNU,Frequentist mixture cure,overall,survival,9,0.615114,95% CI,0.096226,0.470332,0.635134,0.8436
PNU,PNU,Frequentist mixture cure,overall,survival,10,0.61214,95% CI,0.097881,0.465536,0.631312,0.843274
PNU,PNU,Frequentist mixture cure,susceptible,risk,1,0.643704,95% CI,0.169454,0.339055,0.635033,0.957599
PNU,PNU,Frequentist mixture cure,susceptible,risk,2,0.786935,95% CI,0.150727,0.449036,0.769906,0.989376
PNU,PNU,Frequentist mixture cure,susceptible,risk,3,0.851754,95% CI,0.135388,0.51029,0.833865,0.996222
PNU,PNU,Frequentist mixture cure,susceptible,risk,4,0.888614,95% CI,0.123611,0.554254,0.871065,0.99838
PNU,PNU,Frequentist mixture cure,susceptible,risk,5,0.912228,95% CI,0.114315,0.58756,0.89585,0.999198
PNU,PNU,Frequentist mixture cure,susceptible,risk,6,0.928529,95% CI,0.106758,0.613482,0.913045,0.99956
PNU,PNU,Frequentist mixture cure,susceptible,risk,7,0.940382,95% CI,0.100463,0.635352,0.92583,0.999746
PNU,PNU,Frequentist mixture cure,susceptible,risk,8,0.949336,95% CI,0.095116,0.655487,0.935497,0.999842
PNU,PNU,Frequentist mixture cure,susceptible,risk,9,0.956302,95% CI,0.0905,0.671891,0.943846,0.9999
PNU,PNU,Frequentist mixture cure,susceptible,risk,10,0.961852,95% CI,0.086463,0.685505,0.950269,0.999941
PNU,PNU,Frequentist mixture cure,susceptible,survival,1,0.356296,95% CI,0.169454,0.042401,0.364967,0.660945
PNU,PNU,Frequentist mixture cure,susceptible,survival,2,0.213065,95% CI,0.150727,0.010624,0.230094,0.550964
PNU,PNU,Frequentist mixture cure,susceptible,survival,3,0.148246,95% CI,0.135388,0.003778,0.166135,0.48971
PNU,PNU,Frequentist mixture cure,susceptible,survival,4,0.111386,95% CI,0.123611,0.00162,0.128935,0.445746
PNU,PNU,Frequentist mixture cure,susceptible,survival,5,0.087772,95% CI,0.114315,8.02e-4,0.10415,0.41244
PNU,PNU,Frequentist mixture cure,susceptible,survival,6,0.071471,95% CI,0.106758,4.4e-4,0.086955,0.386518
PNU,PNU,Frequentist mixture cure,susceptible,survival,7,0.059618,95% CI,0.100463,2.54e-4,0.07417,0.36464800000000003
PNU,PNU,Frequentist mixture cure,susceptible,survival,8,0.050664,95% CI,0.095116,1.58e-4,0.064503,0.344513
PNU,PNU,Frequentist mixture cure,susceptible,survival,9,0.043698,95% CI,0.0905,1e-4,0.056154,0.328109
PNU,PNU,Frequentist mixture cure,susceptible,survival,10,0.038148,95% CI,0.086463,5.9e-5,0.049731,0.314495
PNU,PNU,Frequentist no-cure lognormal,overall,risk,1,0.222887,95% CI,0.064659,0.141862,0.236711,0.397764
PNU,PNU,Frequentist no-cure lognormal,overall,risk,2,0.311603,95% CI,0.083809,0.207852,0.320896,0.536714
PNU,PNU,Frequentist no-cure lognormal,overall,risk,3,0.36968,95% CI,0.094854,0.251623,0.375898,0.619457
PNU,PNU,Frequentist no-cure lognormal,overall,risk,4,0.412871,95% CI,0.102,0.281067,0.416188,0.679243
PNU,PNU,Frequentist no-cure lognormal,overall,risk,5,0.447146,95% CI,0.106928,0.307078,0.448123,0.719026
PNU,PNU,Frequentist no-cure lognormal,overall,risk,6,0.475459,95% CI,0.110463,0.326807,0.475171,0.752479
PNU,PNU,Frequentist no-cure lognormal,overall,risk,7,0.4995,95% CI,0.113065,0.345239,0.497682,0.780352
PNU,PNU,Frequentist no-cure lognormal,overall,risk,8,0.520331,95% CI,0.11501,0.359768,0.517701,0.801922
PNU,PNU,Frequentist no-cure lognormal,overall,risk,9,0.538661,95% CI,0.116477,0.372803,0.534782,0.819514
PNU,PNU,Frequentist no-cure lognormal,overall,risk,10,0.554989,95% CI,0.117587,0.383231,0.550419,0.833765
PNU,PNU,Frequentist no-cure lognormal,overall,survival,1,0.777113,95% CI,0.064659,0.602236,0.763289,0.858138
PNU,PNU,Frequentist no-cure lognormal,overall,survival,2,0.688397,95% CI,0.083809,0.463286,0.679104,0.792148
PNU,PNU,Frequentist no-cure lognormal,overall,survival,3,0.63032,95% CI,0.094854,0.380543,0.624102,0.748377
PNU,PNU,Frequentist no-cure lognormal,overall,survival,4,0.587129,95% CI,0.102,0.320757,0.583812,0.718933
PNU,PNU,Frequentist no-cure lognormal,overall,survival,5,0.552854,95% CI,0.106928,0.280974,0.551877,0.692922
PNU,PNU,Frequentist no-cure lognormal,overall,survival,6,0.524541,95% CI,0.110463,0.247521,0.524829,0.673193
PNU,PNU,Frequentist no-cure lognormal,overall,survival,7,0.5005,95% CI,0.113065,0.219648,0.502318,0.654761
PNU,PNU,Frequentist no-cure lognormal,overall,survival,8,0.479669,95% CI,0.11501,0.198078,0.482299,0.640232
PNU,PNU,Frequentist no-cure lognormal,overall,survival,9,0.461339,95% CI,0.116477,0.180486,0.465218,0.627197
PNU,PNU,Frequentist no-cure lognormal,overall,survival,10,0.445011,95% CI,0.117587,0.166235,0.449581,0.616769
PNU,PNU,KM benchmark,overall,risk,1,0.169858,95% CI,NA,0.052361,NA,0.272787
PNU,PNU,KM benchmark,overall,risk,2,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,3,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,4,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,5,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,6,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,7,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,8,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,9,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,risk,10,0.298819,95% CI,NA,0.132606,NA,0.433182
PNU,PNU,KM benchmark,overall,survival,1,0.830142,95% CI,NA,0.727213,NA,0.947639
PNU,PNU,KM benchmark,overall,survival,2,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,3,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,4,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,5,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,6,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,7,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,8,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,9,0.701181,95% CI,NA,0.566818,NA,0.867394
PNU,PNU,KM benchmark,overall,survival,10,0.701181,95% CI,NA,0.566818,NA,0.867394
SNU,SNU,Bayesian transition-only cure,overall,risk,1,0.088654,95% CrI,0.016125,0.059177,0.088629,0.124525
SNU,SNU,Bayesian transition-only cure,overall,risk,2,0.139046,95% CrI,0.020739,0.09968,0.137848,0.181927
SNU,SNU,Bayesian transition-only cure,overall,risk,3,0.175402,95% CrI,0.024422,0.130656,0.175468,0.224072
SNU,SNU,Bayesian transition-only cure,overall,risk,4,0.204025,95% CrI,0.027615,0.153927,0.2041,0.262677
SNU,SNU,Bayesian transition-only cure,overall,risk,5,0.227658,95% CrI,0.03045,0.172405,0.228057,0.292627
SNU,SNU,Bayesian transition-only cure,overall,risk,6,0.247776,95% CrI,0.033003,0.189265,0.248428,0.318657
SNU,SNU,Bayesian transition-only cure,overall,risk,7,0.265275,95% CrI,0.035326,0.201339,0.265893,0.340987
SNU,SNU,Bayesian transition-only cure,overall,risk,8,0.280743,95% CrI,0.037458,0.213799,0.281248,0.362002
SNU,SNU,Bayesian transition-only cure,overall,risk,9,0.294586,95% CrI,0.039428,0.225976,0.295367,0.38087
SNU,SNU,Bayesian transition-only cure,overall,risk,10,0.3071,95% CrI,0.04126,0.235138,0.30837,0.400652
SNU,SNU,Bayesian transition-only cure,overall,survival,1,0.911346,95% CrI,0.016125,0.875475,0.911371,0.940823
SNU,SNU,Bayesian transition-only cure,overall,survival,2,0.860954,95% CrI,0.020739,0.818073,0.862152,0.90032
SNU,SNU,Bayesian transition-only cure,overall,survival,3,0.824598,95% CrI,0.024422,0.775928,0.824532,0.869344
SNU,SNU,Bayesian transition-only cure,overall,survival,4,0.795975,95% CrI,0.027615,0.737323,0.7959,0.846073
SNU,SNU,Bayesian transition-only cure,overall,survival,5,0.772342,95% CrI,0.03045,0.707373,0.771943,0.827595
SNU,SNU,Bayesian transition-only cure,overall,survival,6,0.752224,95% CrI,0.033003,0.681343,0.751572,0.810735
SNU,SNU,Bayesian transition-only cure,overall,survival,7,0.734725,95% CrI,0.035326,0.659013,0.734107,0.798661
SNU,SNU,Bayesian transition-only cure,overall,survival,8,0.719257,95% CrI,0.037458,0.637998,0.718752,0.786201
SNU,SNU,Bayesian transition-only cure,overall,survival,9,0.705414,95% CrI,0.039428,0.61913,0.704633,0.774024
SNU,SNU,Bayesian transition-only cure,overall,survival,10,0.6929,95% CrI,0.04126,0.599348,0.69163,0.764862
SNU,SNU,Bayesian transition-only cure,susceptible,risk,1,0.127708,95% CrI,0.042072,0.071836,0.118491,0.236087
SNU,SNU,Bayesian transition-only cure,susceptible,risk,2,0.199477,95% CrI,0.060836,0.11978,0.184754,0.362074
SNU,SNU,Bayesian transition-only cure,susceptible,risk,3,0.250753,95% CrI,0.072822,0.155649,0.230238,0.436907
SNU,SNU,Bayesian transition-only cure,susceptible,risk,4,0.290831,95% CrI,0.081227,0.182199,0.268858,0.492771
SNU,SNU,Bayesian transition-only cure,susceptible,risk,5,0.32373,95% CrI,0.087445,0.205025,0.300121,0.536816
SNU,SNU,Bayesian transition-only cure,susceptible,risk,6,0.351602,95% CrI,0.092211,0.224195,0.328974,0.572471
SNU,SNU,Bayesian transition-only cure,susceptible,risk,7,0.375745,95% CrI,0.095957,0.241537,0.354094,0.602154
SNU,SNU,Bayesian transition-only cure,susceptible,risk,8,0.397009,95% CrI,0.098954,0.256557,0.375518,0.628232
SNU,SNU,Bayesian transition-only cure,susceptible,risk,9,0.415979,95% CrI,0.101385,0.26968,0.395932,0.651215
SNU,SNU,Bayesian transition-only cure,susceptible,risk,10,0.433079,95% CrI,0.103378,0.282952,0.412921,0.671312
SNU,SNU,Bayesian transition-only cure,susceptible,survival,1,0.872292,95% CrI,0.042072,0.763913,0.881509,0.928164
SNU,SNU,Bayesian transition-only cure,susceptible,survival,2,0.800523,95% CrI,0.060836,0.637926,0.815246,0.88022
SNU,SNU,Bayesian transition-only cure,susceptible,survival,3,0.749247,95% CrI,0.072822,0.563093,0.769762,0.844351
SNU,SNU,Bayesian transition-only cure,susceptible,survival,4,0.709169,95% CrI,0.081227,0.507229,0.731142,0.817801
SNU,SNU,Bayesian transition-only cure,susceptible,survival,5,0.67627,95% CrI,0.087445,0.463184,0.699879,0.794975
SNU,SNU,Bayesian transition-only cure,susceptible,survival,6,0.648398,95% CrI,0.092211,0.427529,0.671026,0.775805
SNU,SNU,Bayesian transition-only cure,susceptible,survival,7,0.624255,95% CrI,0.095957,0.397846,0.645906,0.758463
SNU,SNU,Bayesian transition-only cure,susceptible,survival,8,0.602991,95% CrI,0.098954,0.371768,0.624482,0.743443
SNU,SNU,Bayesian transition-only cure,susceptible,survival,9,0.584021,95% CrI,0.101385,0.348785,0.604068,0.73032
SNU,SNU,Bayesian transition-only cure,susceptible,survival,10,0.566921,95% CrI,0.103378,0.328688,0.587079,0.717048
SNU,SNU,Frequentist mixture cure,overall,risk,1,0.0839,95% CI,0.03401,0.003082,0.055613,0.115692
SNU,SNU,Frequentist mixture cure,overall,risk,2,0.131967,95% CI,0.052079,0.00489,0.089413,0.172835
SNU,SNU,Frequentist mixture cure,overall,risk,3,0.167496,95% CI,0.065536,0.00632,0.113342,0.217718
SNU,SNU,Frequentist mixture cure,overall,risk,4,0.196079,95% CI,0.076402,0.00729,0.132872,0.252409
SNU,SNU,Frequentist mixture cure,overall,risk,5,0.220132,95% CI,0.085559,0.008042,0.149625,0.281467
SNU,SNU,Frequentist mixture cure,overall,risk,6,0.240956,95% CI,0.093488,0.008656,0.163411,0.308535
