dataset,model_formula,time_horizon_year,susceptible_fraction,cure_fraction,overall_survival_prob,overall_risk_prob,susceptible_only_survival_prob,susceptible_only_risk_prob
PNU,incidence = latency = age_s + sex_num,1,0.4102052639908172,0.5897947360091829,0.7585121762679149,0.24148782373208508,0.35629622869225525,0.6437037713077448
PNU,incidence = latency = age_s + sex_num,2,0.4102052639908172,0.5897947360091829,0.6965062398383748,0.30349376016162527,0.21306475657255292,0.786935243427447
PNU,incidence = latency = age_s + sex_num,3,0.4102052639908172,0.5897947360091829,0.6668123155070195,0.3331876844929805,0.14824630815593914,0.8517536918440609
PNU,incidence = latency = age_s + sex_num,4,0.4102052639908172,0.5897947360091829,0.649270591122576,0.350729408877424,0.11138607788746989,0.8886139221125301
PNU,incidence = latency = age_s + sex_num,5,0.4102052639908172,0.5897947360091829,0.6377012079003465,0.36229879209965354,0.08777249959769276,0.9122275004023073
PNU,incidence = latency = age_s + sex_num,6,0.4102052639908172,0.5897947360091829,0.629523238845054,0.37047676115494593,0.07147062426843312,0.9285293757315669
PNU,incidence = latency = age_s + sex_num,7,0.4102052639908172,0.5897947360091829,0.6234576590586833,0.37654234094131667,0.0596179275783735,0.9403820724216265
PNU,incidence = latency = age_s + sex_num,8,0.4102052639908172,0.5897947360091829,0.6187960196207999,0.38120398037920017,0.05066409413652407,0.9493359058634759
PNU,incidence = latency = age_s + sex_num,9,0.4102052639908172,0.5897947360091829,0.6151136592166988,0.38488634078330125,0.04369756642086949,0.9563024335791305
PNU,incidence = latency = age_s + sex_num,10,0.4102052639908172,0.5897947360091829,0.6121404703894375,0.3878595296105625,0.03814826699807987,0.9618517330019202
SNU,incidence = latency = age_s + sex_num,1,0.9617353803291041,0.038264619670895894,0.9161003458447731,0.08389965415522697,0.9111894254580465,0.08881057454195349
SNU,incidence = latency = age_s + sex_num,2,0.9617353803291041,0.038264619670895894,0.8680328852936586,0.13196711470634137,0.8606665903123875,0.13933340968761254
SNU,incidence = latency = age_s + sex_num,3,0.9617353803291041,0.038264619670895894,0.8325040973029191,0.16749590269708092,0.8234039825575942,0.17659601744240588
SNU,incidence = latency = age_s + sex_num,4,0.9617353803291041,0.038264619670895894,0.8039206506071755,0.1960793493928245,0.793465994664919,0.20653400533508107
SNU,incidence = latency = age_s + sex_num,5,0.9617353803291041,0.038264619670895894,0.7798677679018446,0.2201322320981554,0.768297806198532,0.23170219380146798
SNU,incidence = latency = age_s + sex_num,6,0.9617353803291041,0.038264619670895894,0.75904380431559,0.24095619568440999,0.746524845753173,0.253475154246827
SNU,incidence = latency = age_s + sex_num,7,0.9617353803291041,0.038264619670895894,0.7406549366416597,0.2593450633583403,0.7273099427060914,0.2726900572939086
SNU,incidence = latency = age_s + sex_num,8,0.9617353803291041,0.038264619670895894,0.7241766026733748,0.27582339732662525,0.7101004718771887,0.2898995281228113
SNU,incidence = latency = age_s + sex_num,9,0.9617353803291041,0.038264619670895894,0.7092419068454057,0.29075809315459433,0.6945102417697703,0.30548975823022967
SNU,incidence = latency = age_s + sex_num,10,0.9617353803291041,0.038264619670895894,0.6955830795242316,0.30441692047576846,0.6802576045711425,0.31974239542885746
merged_no_site,incidence = latency = age_s + sex_num,1,0.9157483328741954,0.08425166712580456,0.8910930836229711,0.10890691637702885,0.8761212551525892,0.12387874484741075
merged_no_site,incidence = latency = age_s + sex_num,2,0.9157483328741954,0.08425166712580456,0.8383071637907692,0.16169283620923086,0.8170916490335476,0.1829083509664524
merged_no_site,incidence = latency = age_s + sex_num,3,0.9157483328741954,0.08425166712580456,0.8009515929146442,0.19904840708535582,0.77552954668161,0.22447045331839002
merged_no_site,incidence = latency = age_s + sex_num,4,0.9157483328741954,0.08425166712580456,0.7716581153659045,0.22834188463409558,0.7430412929917262,0.2569587070082738
merged_no_site,incidence = latency = age_s + sex_num,5,0.9157483328741954,0.08425166712580456,0.7474436478159872,0.25255635218401284,0.7162484823433007,0.2837515176566992
merged_no_site,incidence = latency = age_s + sex_num,6,0.9157483328741954,0.08425166712580456,0.7267613962826985,0.2732386037173015,0.693405904292278,0.306594095707722
merged_no_site,incidence = latency = age_s + sex_num,7,0.9157483328741954,0.08425166712580456,0.7086936757990242,0.29130632420097585,0.6734810380192974,0.3265189619807026
merged_no_site,incidence = latency = age_s + sex_num,8,0.9157483328741954,0.08425166712580456,0.6926467905103995,0.30735320948960054,0.6558073736244854,0.34419262637551457
merged_no_site,incidence = latency = age_s + sex_num,9,0.9157483328741954,0.08425166712580456,0.6782125269036443,0.32178747309635564,0.6399274741055833,0.3600725258944168
merged_no_site,incidence = latency = age_s + sex_num,10,0.9157483328741954,0.08425166712580456,0.6650971723441061,0.33490282765589385,0.6255127264945199,0.3744872735054801
merged_site_adjusted,incidence = latency = age_s + sex_num + site,1,0.8271528736747157,0.17284712632528432,0.8875585631195304,0.11244143688046966,0.8539294758023966,0.14607052419760339
merged_site_adjusted,incidence = latency = age_s + sex_num + site,2,0.8271528736747157,0.17284712632528432,0.8324308376849996,0.1675691623150004,0.785122073662989,0.214877926337011
merged_site_adjusted,incidence = latency = age_s + sex_num + site,3,0.8271528736747157,0.17284712632528432,0.7936357290222132,0.2063642709777868,0.7371944992617822,0.26280550073821785
merged_site_adjusted,incidence = latency = age_s + sex_num + site,4,0.8271528736747157,0.17284712632528432,0.7633906605310715,0.2366093394689285,0.7000559225080799,0.29994407749192004
merged_site_adjusted,incidence = latency = age_s + sex_num + site,5,0.8271528736747157,0.17284712632528432,0.7385273889083093,0.2614726110916907,0.6696555847228215,0.33034441527717845
merged_site_adjusted,incidence = latency = age_s + sex_num + site,6,0.8271528736747157,0.17284712632528432,0.7174001925881452,0.28259980741185475,0.6439072265263394,0.35609277347366064
merged_site_adjusted,incidence = latency = age_s + sex_num + site,7,0.8271528736747157,0.17284712632528432,0.699032391099684,0.3009676089003161,0.6215802444766667,0.3784197555233333
merged_site_adjusted,incidence = latency = age_s + sex_num + site,8,0.8271528736747157,0.17284712632528432,0.6827923891873772,0.31720761081262283,0.6018825706480694,0.3981174293519307
merged_site_adjusted,incidence = latency = age_s + sex_num + site,9,0.8271528736747157,0.17284712632528432,0.6682462782126588,0.3317537217873412,0.5842721168394027,0.4157278831605973
merged_site_adjusted,incidence = latency = age_s + sex_num + site,10,0.8271528736747157,0.17284712632528432,0.6550821968741891,0.34491780312581083,0.5683605063128059,0.4316394936871941
